name,location,address,price,quantity,beds,status,income_min,income_max,listed_at,open_on,close_on,source,link
Airton Plaza,Dublin - Belgard Road,"Airton Plaza, Belgard Road, Co. Dublin, Ireland",1715,20,2,closed,,,07/05/2025,07/05/2025,21/05/2025,affordablehomes,https://affordablehomes.ie/rent/airton-plaza-4/
Airton Plaza,Dublin - Belgard Road,"Airton Plaza, Belgard Road, Co. Dublin, Ireland",1400,19,1,closed,,,11/04/2025,16/04/2025,30/04/2025,affordablehomes,https://affordablehomes.ie/rent/airton-plaza-0425/
Airton Plaza,Dublin - Belgard Road,"Airton Plaza, Belgard Road, Co. Dublin, Ireland",1715,90,2,closed,,,15/01/2025,15/01/2025,29/01/2025,affordablehomes,https://affordablehomes.ie/rent/airton-plaza-2/
Airton Plaza,Dublin - Belgard Road,"Airton Plaza, Belgard Road, Co. Dublin, Ireland",1400,230,2-3,closed,,,06/11/2024,06/11/2024,13/11/2024,affordablehomes,https://affordablehomes.ie/rent/airton-plaza/
"Airton Road, Tallaght",Dublin - Tallaght,"Airton Road, Tallaght, Co. Dublin, Ireland",1388,145,1-3,closed,,,20/01/2026,,27/01/2026,affordablehomes,https://affordablehomes.ie/rent/airton/
"Airton Road, Tallaght, Dublin 24",Dublin - D24 Tallaght,"Airton Road, Tallaght, Dublin 24, Co. Dublin, Ireland",1388,144,1-3,closed,,,19/02/2026,19/02/2026,26/02/2026,affordablehomes,https://affordablehomes.ie/rent/airtonroad/
"Albert Avenue, Bray",Wicklow - Bray,"Albert Avenue, Bray, Co. Wicklow, Ireland",1495,30,1-2,closed,,,25/08/2025,25/08/2025,01/09/2025,affordablehomes,https://affordablehomes.ie/rent/albert-avenue/
"Allmans View, Coolfadda",Cork - Bandon,"Allmans View, Bandon, Co. Cork, Ireland",1080,20,2-3,closed,,,29/05/2025,16/06/2025,30/06/2025,affordablehomes,https://affordablehomes.ie/rent/allmans-view/
An Cnocan,Cork - Bantry,"An Cnocan, Bantry, Co. Cork, Ireland",935,10,2-3,closed,,,02/10/2024,14/10/2024,28/10/2024,affordablehomes,https://affordablehomes.ie/rent/an-cnocan/
An Tobar,Galway - Rahoon,"An Tobar, Letteragh Road, Rahoon, Co. Galway, Ireland",1640,1,3,closed,,,25/05/2026,25/05/2026,01/06/2026,affordablehomes,https://affordablehomes.ie/rent/antobar1/
"An Tobar, Galway",Ireland - Galway,"An Tobar, Galway, Rathún, Gaillimh / Rahoon, Ireland",1125,,1-3,closed,,,,,,tuath,https://tuathhousing.ie/properties/an-tobar-galway/
"An Tobar, Letteragh Road",Galway - Rahoon,"An Tobar, Letteragh Road, Rahoon, Co. Galway, Ireland",1125,41,1-3,closed,,,19/09/2025,12/09/2025,21/10/2025,affordablehomes,https://affordablehomes.ie/rent/antobar/
Archers Wood,Ireland,"Apartment 24, Archer's Wood View, Delgany, Archer's Wood, Co. Wicklow, A63 X6P1, Ireland",1170,5,1-3,closed,41829,59000,,,12/10/2023,lda,https://lda.ie/affordable-homes/lda-cost-rental/archers-wood-avenue
Archers Wood,Ireland,"Archers Wood, Ireland",,,2,closed,,,,,,lda,https://lda.ie/affordable-homes/lda-cost-rental/archers-wood
Archers Wood View Apartments,Wicklow - Delgany,"Archers Wood View Apartments, Delgany, Co. Wicklow, Ireland",1220,94,1-3,closed,,,25/09/2023,05/10/2023,12/10/2023,affordablehomes,https://affordablehomes.ie/rent/archers-wood-view-apartments/
Ard Raithní,Galway - Bearna,"Ard Raithní, Bearna, Co. Galway, Ireland",1380,,2-3,closed,,,,,,tuath,https://tuathhousing.ie/properties/ard-raithni/
"Ard Raithní, Bearna, Galway",Galway - Bearna,"Ard Raithní, Bearna, Co. Galway, Ireland",1590,5,3,closed,,,10/07/2025,10/07/2025,31/07/2025,affordablehomes,https://affordablehomes.ie/rent/ard-raithni/
"Ash Walk, Kilcarbery",Dublin - D22 Clondalkin,"Ash Walk, Clondalkin, Dublin 22, Co. Dublin, Ireland",1450,1,2,closed,,,31/07/2025,05/08/2025,08/08/2025,affordablehomes,https://affordablehomes.ie/rent/kilcarbery-relet-0825/
Baile Adaim,Cork - Carrigtwohill,"Baile Adaim, Carrigtwohill, Co. Cork, Ireland",710,12,1-3,closed,,,05/05/2026,18/05/2026,02/06/2026,affordablehomes,https://affordablehomes.ie/rent/baileadaim1/
Baile Adaim,Cork - Carrigtwohill,"Baile Adaim, Carrigtwohill, Co. Cork, Ireland",1210,8,2-4,closed,,,06/11/2025,27/11/2025,11/12/2025,affordablehomes,https://affordablehomes.ie/rent/baileadaim/
Baker Hall,Meath - Navan,"Baker Hall, Navan, Co. Meath, Ireland",1175,,1-3,closed,,,,,,tuath,https://tuathhousing.ie/properties/baker-hall/
"Baker Hall, Academy Street, Navan",Meath - Navan,"Baker Hall, Academy Street, Navan, Co. Meath, Ireland",1270,58,1-3,closed,,,16/09/2025,16/09/2025,06/10/2025,affordablehomes,https://affordablehomes.ie/rent/bakerhall/
"Baker Hall, Navan, Co. Meath",Meath - Navan,"Baker Hall, Navan, Co. Meath, Ireland",1175,1,1,closed,,,27/04/2026,27/04/2026,04/05/2026,affordablehomes,https://affordablehomes.ie/rent/hal/
Ballynakelly Gate,Dublin - Newcastle,"Ballynakelly Gate, Newcastle, Co. Dublin, Ireland",1195,23,2-4,closed,,,08/10/2024,08/10/2024,15/10/2024,affordablehomes,https://affordablehomes.ie/rent/ballynakelly-gate/
Balmoston,Dublin - Donabate,"Balmoston, Donabate, Co. Dublin, Ireland",1327,37,1-3,closed,,,02/04/2025,,17/04/2025,affordablehomes,https://affordablehomes.ie/rent/balmoston-donabate/
Balmoston,Dublin - Donabate,"Balmoston, Donabate, Co. Dublin, Ireland",1327,,1-3,closed,,,,,,tuath,https://tuathhousing.ie/properties/balmoston/
Barnhall Meadows,Kildare - Leixlip,"Barnhall Meadows, Leixlip, Co. Kildare, Ireland",1326,1,3,closed,,,15/05/2025,14/05/2025,28/05/2025,affordablehomes,https://affordablehomes.ie/rent/barnhallmeadows2/
Barnhall Meadows,Kildare - Leixlip,"Barnhall Meadows, Leixlip, Co. Kildare, Ireland",990,73,2-3,closed,,,13/09/2023,19/09/2023,20/09/2023,affordablehomes,https://affordablehomes.ie/rent/barnhall-meadows/
Barnoaks,Dublin - Citywest,"Barnoaks, Citywest, Co. Dublin, Ireland",999,1,1,closed,,,24/10/2024,,31/10/2024,affordablehomes,https://affordablehomes.ie/rent/barnoaks/
Barnwell Point Apartments,Dublin - Hansfield,"Barnwell Point Apartments, Hansfield, Co. Dublin, Ireland",1225,247,1-2,closed,,,10/01/2024,18/01/2024,25/01/2024,affordablehomes,https://affordablehomes.ie/rent/barnwell-point-apartments/
"Barnwell Point, Hansfield, Dublin 15",Dublin - D15 Hansfield,"Barnwell Point, Hansfield, Dublin 15, Ireland",1225,1,1,closed,42000,66000,,,18/03/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/barnwell-point-phase-7-hansfield-dublin-15-7
"Barnwell Point, Hansfield, Dublin 15",Dublin - D15 Hansfield,"Barnwell Point, Hansfield, Dublin 15, Ireland",1000,3,studio-2,closed,36000,66000,,,25/01/2024,lda,https://lda.ie/affordable-homes/lda-cost-rental/barnwell
"Barnwell Point, Hansfield, Dublin 15 - Phase 2",Dublin - D15 Hansfield,"Barnwell Point, Hansfield, Dublin 15 - Phase 2, Ireland",1400,1,2,closed,48000,66000,,,11/07/2024,lda,https://lda.ie/affordable-homes/lda-cost-rental/barnwell-2
Belin Woods,Kildare - Newbridge,"Belin Woods, Newbridge, Co. Kildare, Ireland",1350,1,3,closed,,,21/11/2025,18/11/2025,25/11/2025,affordablehomes,https://affordablehomes.ie/rent/belinwoods/
Belin Woods,Kildare - Newbridge,"Belin Woods, Newbridge, Co. Kildare, Ireland",1350,1,1,closed,,,20/03/2025,21/03/2025,28/03/2025,affordablehomes,https://affordablehomes.ie/rent/belin-woods/
"Bishops Gate, Kiltiernan Wood, Dublin 18",Dublin - D18 Kiltiernan Wood,"Bishops Gate, Kiltiernan Wood, Co. Dublin, Ireland",1425,2,2-3,closed,,,29/09/2025,30/09/2025,07/10/2025,affordablehomes,https://affordablehomes.ie/rent/bishopsgate/
Bishop’s Gate,Dublin - Kilternan,"Bishop’s Gate, Enniskerry Rd, Kilternan, Co. Dublin, Ireland",1425,1,2,closed,,,09/04/2026,09/04/2026,16/04/2026,affordablehomes,https://affordablehomes.ie/rent/bishopsgate1/
"Burrell’s Walk, College Road, Co. Kilkenny",Kilkenny - Walkinslough,"Burrell’s Walk, College Road, Co. Kilkenny, Walkinslough, Ireland",1200,12,2-3,closed,,,17/09/2025,17/09/2025,01/10/2025,affordablehomes,https://affordablehomes.ie/rent/burrellswalk/
"Carrigmore Woods, Citywest",Dublin - Citywest,"Carrigmore Woods, Citywest, Dublin, Ireland",1395,153,1-2,closed,,,,,,tuath,https://tuathhousing.ie/properties/carrigmore-woods-citywest/
