name,location,address,price,quantity,beds,status,income_min,income_max,listed_at,open_on,close_on,source,link
Airton Road,Ireland,"Airton Road, Ireland",1875,,1-3,open,,,,,27/07/2026,respond,https://www.respond.ie/properties/airton-road-2/
Barnhall Meadows,Kildare - Leixlip,"Barnhall Meadows, Leixlip, Co. Kildare, Ireland",1372,1,3,open,,,21/07/2026,22/07/2026,29/07/2026,affordablehomes,https://affordablehomes.ie/rent/barnhallmeadows3/
Barnhall Meadows,Ireland - Barnhall Meadows,"Barnhall Meadows, Ireland",1372,,1-2,open,,,,22/07/2026,,cluid,https://www.cluid.ie/property/barnhall-meadows-2/
"Dun Óir, Kilternan, Dublin 18",Dublin - D18 Kilternan,"Glenamuck Road, Dun Óir, Kilternan, Dublin 18, Ireland",1375,1,1,open,44571,66000,,,22/07/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/dun-óir-kilternan-dublin-18-5
"Shanganagh Castle Estate, Shankill, Co.Dublin",Dublin - Shankill,"Shanganagh Castle Estate, Shankill, Co.Dublin, Ireland",1250,1,1,open,42857,66000,,,23/07/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/shanganagh-castle-estate-shankill-dublin-18-6
"The Crossings, Adamstown, Co. Dublin",Dublin - Adamstown,"The Crossings, Adamstown, Co. Dublin, Ireland",1380,2,1-2,open,47314,66000,,,23/07/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/the-crossings-adamstown-co-dublin
"The Granary, Swords",Ireland - Swords,"The Granary, Swords, Ireland",1654,,1-3,open,,,,,27/07/2026,respond,https://www.respond.ie/properties/mooretown-swords/
The Paddocks,Kildare - Newbridge,"The Paddocks, Morristown, Newbridge, Co. Kildare, Ireland",1093,1,1,open,,,21/07/2026,22/07/2026,29/07/2026,affordablehomes,https://affordablehomes.ie/rent/thepaddocks3/
The Paddocks,Ireland - The Paddocks,"The Paddocks, Ireland",1093,,1-2,open,,,,22/07/2026,,cluid,https://www.cluid.ie/property/the-paddocks-2/
"Westfield, Leixlip",Ireland - Leixlip,"Westfield, Leixlip, Ireland",1668,,1-3,open,,,,,27/07/2026,respond,https://www.respond.ie/properties/westfield/
